SID,Degree,Semester,Course,Marks,Discipline
2000,BS,Fall99,CS-101,87,CS
2000,BS,Fall99,CS-102,97,CS
2000,BS,Fall99,CS-103,89,CS
2000,BS,Fall99,CS-104,87,CS
2000,BS,Fall99,SS-201,77,CS
2000,BS,Fall99,MS-301,53,CS
2001,BS,Fall99,CS-101,63,CS
2001,BS,Fall99,CS-102,60,CS
2001,BS,Fall99,CS-103,62,CS
2001,BS,Fall99,CS-104,98,CS
2001,BS,Fall99,SS-201,78,CS
2001,BS,Fall99,MS-301,55,CS
2002,BS,Fall99,CS-101,90,CS
2002,BS,Fall99,CS-102,72,CS
2002,BS,Fall99,CS-103,85,CS
2002,BS,Fall99,CS-104,92,CS
2002,BS,Fall99,SS-201,80,CS
2002,BS,Fall99,MS-301,57,CS
2003,BS,Fall99,CS-101,67,CS
2003,BS,Fall99,CS-102,84,CS
2003,BS,Fall99,CS-103,58,CS
2003,BS,Fall99,CS-104,53,CS
2003,BS,Fall99,SS-201,82,CS
2003,BS,Fall99,MS-301,59,CS
2004,BS,Fall99,CS-101,94,CS
2004,BS,Fall99,CS-102,97,CS
2004,BS,Fall99,CS-103,98,CS
2004,BS,Fall99,CS-104,97,CS
2004,BS,Fall99,SS-201,52,CS
2004,BS,Fall99,MS-301,61,CS
2005,BS,Fall99,CS-101,70,CS
2005,BS,Fall99,CS-102,59,CS
2005,BS,Fall99,CS-103,71,CS
2005,BS,Fall99,CS-104,59,CS
2005,BS,Fall99,SS-201,54,CS
2005,BS,Fall99,MS-301,63,CS
2006,BS,Fall99,CS-101,97,CS
2006,BS,Fall99,CS-102,72,CS
2006,BS,Fall99,CS-103,94,CS
2006,BS,Fall99,CS-104,52,CS
2006,BS,Fall99,SS-201,56,CS
2006,BS,Fall99,MS-301,65,CS
2007,BS,Fall99,CS-101,74,CS
2007,BS,Fall99,CS-102,84,CS
2007,BS,Fall99,CS-103,67,CS
2007,BS,Fall99,CS-104,64,CS
2007,BS,Fall99,SS-201,58,CS
2007,BS,Fall99,MS-301,67,CS
2008,BS,Fall99,CS-101,50,CS
2008,BS,Fall99,CS-102,97,CS
