Reg#,Courses,Score,Program,Sem,Year
200,CS-801,61,MS-CS,Fall,2003
200,CS-802,63,MS-CS,Fall,2003
200,CS-703,86,MS-CS,Fall,2003
201,CS-801,88,MS-CS,Fall,2003
201,CS-802,76,MS-CS,Fall,2003
201,CS-703,59,MS-CS,Fall,2003
202,CS-801,64,MS-CS,Fall,2003
202,CS-802,88,MS-CS,Fall,2003
202,CS-703,50,MS-CS,Fall,2003
203,CS-801,91,MS-CS,Fall,2003
203,CS-802,51,MS-CS,Fall,2003
203,CS-703,72,MS-CS,Fall,2003
204,CS-801,68,MS-CS,Fall,2003
204,CS-802,63,MS-CS,Fall,2003
204,CS-703,95,MS-CS,Fall,2003
205,CS-801,94,MS-CS,Fall,2003
205,CS-802,76,MS-CS,Fall,2003
205,CS-703,68,MS-CS,Fall,2003
206,CS-801,53,MS-CS,Fall,2003
206,CS-802,88,MS-CS,Fall,2003
206,CS-703,91,MS-CS,Fall,2003
207,CS-801,80,MS-CS,Fall,2003
207,CS-802,50,MS-CS,Fall,2003
207,CS-703,63,MS-CS,Fall,2003
208,CS-801,57,MS-CS,Fall,2003
208,CS-802,95,MS-CS,Fall,2003
208,CS-703,86,MS-CS,Fall,2003
209,CS-801,83,MS-CS,Fall,2003
209,CS-802,57,MS-CS,Fall,2003
209,CS-703,59,MS-CS,Fall,2003
210,CS-801,60,MS-CS,Fall,2003
210,CS-802,70,MS-CS,Fall,2003
210,CS-703,82,MS-CS,Fall,2003
211,CS-801,87,MS-CS,Fall,2003
211,CS-802,82,MS-CS,Fall,2003
211,CS-703,54,MS-CS,Fall,2003
212,CS-801,64,MS-CS,Fall,2003
212,CS-802,95,MS-CS,Fall,2003
212,CS-703,77,MS-CS,Fall,2003
213,CS-801,90,MS-CS,Fall,2003
213,CS-802,57,MS-CS,Fall,2003
213,CS-703,68,MS-CS,Fall,2003
214,CS-801,99,MS-CS,Fall,2003
214,CS-802,70,MS-CS,Fall,2003
214,CS-703,90,MS-CS,Fall,2003
215,CS-801,76,MS-CS,Fall,2003
215,CS-802,82,MS-CS,Fall,2003
215,CS-703,63,MS-CS,Fall,2003
216,CS-801,52,MS-CS,Fall,2003
216,CS-802,95,MS-CS,Fall,2003
216,CS-703,86,MS-CS,Fall,2003
217,CS-801,79,MS-CS,Fall,2003
217,CS-802,57,MS-CS,Fall,2003
