SID,Degree,Semester,Course,Marks,Discipline
2800,BS,Fall01,CS-101,60,CS
2800,BS,Fall01,CS-102,90,CS
2800,BS,Fall01,CS-103,66,CS
2800,BS,Fall01,CS-104,55,CS
2800,BS,Fall01,SS-201,72,CS
2800,BS,Fall01,MS-301,50,CS
2801,BS,Fall01,CS-101,69,CS
2801,BS,Fall01,CS-102,52,CS
2801,BS,Fall01,CS-103,88,CS
2801,BS,Fall01,CS-104,66,CS
2801,BS,Fall01,SS-201,74,CS
2801,BS,Fall01,MS-301,52,CS
2802,BS,Fall01,CS-101,96,CS
2802,BS,Fall01,CS-102,65,CS
2802,BS,Fall01,CS-103,61,CS
2802,BS,Fall01,CS-104,60,CS
2802,BS,Fall01,SS-201,76,CS
2802,BS,Fall01,MS-301,54,CS
2803,BS,Fall01,CS-101,73,CS
2803,BS,Fall01,CS-102,77,CS
2803,BS,Fall01,CS-103,84,CS
2803,BS,Fall01,CS-104,72,CS
2803,BS,Fall01,SS-201,78,CS
2803,BS,Fall01,MS-301,56,CS
2804,BS,Fall01,CS-101,99,CS
2804,BS,Fall01,CS-102,90,CS
2804,BS,Fall01,CS-103,56,CS
2804,BS,Fall01,CS-104,65,CS
2804,BS,Fall01,SS-201,98,CS
2804,BS,Fall01,MS-301,58,CS
2805,BS,Fall01,CS-101,76,CS
2805,BS,Fall01,CS-102,52,CS
2805,BS,Fall01,CS-103,79,CS
2805,BS,Fall01,CS-104,77,CS
2805,BS,Fall01,SS-201,50,CS
2805,BS,Fall01,MS-301,60,CS
2806,BS,Fall01,CS-101,53,CS
2806,BS,Fall01,CS-102,65,CS
2806,BS,Fall01,CS-103,52,CS
2806,BS,Fall01,CS-104,70,CS
2806,BS,Fall01,SS-201,52,CS
2806,BS,Fall01,MS-301,62,CS
2807,BS,Fall01,CS-101,80,CS
2807,BS,Fall01,CS-102,77,CS
2807,BS,Fall01,CS-103,75,CS
2807,BS,Fall01,CS-104,82,CS
2807,BS,Fall01,SS-201,54,CS
2807,BS,Fall01,MS-301,64,CS
2808,BS,Fall01,CS-101,56,CS
2808,BS,Fall01,CS-102,90,CS
2808,BS,Fall01,CS-103,97,CS
2808,BS,Fall01,CS-104,76,CS
2808,BS,Fall01,SS-201,56,CS
2808,BS,Fall01,MS-301,67,CS
2809,BS,Fall01,CS-101,83,CS
2809,BS,Fall01,CS-102,84,CS
2809,BS,Fall01,CS-103,70,CS
2809,BS,Fall01,CS-104,87,CS
2809,BS,Fall01,SS-201,76,CS
2809,BS,Fall01,MS-301,69,CS
2810,BS,Fall01,CS-101,92,CS
2810,BS,Fall01,CS-102,96,CS
2810,BS,Fall01,CS-103,61,CS
2810,BS,Fall01,CS-104,81,CS
2810,BS,Fall01,SS-201,78,CS
2810,BS,Fall01,MS-301,71,CS
2811,BS,Fall01,CS-101,69,CS
2811,BS,Fall01,CS-102,59,CS
2811,BS,Fall01,CS-103,84,CS
2811,BS,Fall01,CS-104,92,CS
2811,BS,Fall01,SS-201,80,CS
2811,BS,Fall01,MS-301,73,CS
2812,BS,Fall01,CS-101,95,CS
2812,BS,Fall01,CS-102,71,CS
2812,BS,Fall01,CS-103,56,CS
2812,BS,Fall01,CS-104,86,CS
2812,BS,Fall01,SS-201,82,CS
2812,BS,Fall01,MS-301,75,CS
2813,BS,Fall01,CS-101,72,CS
2813,BS,Fall01,CS-102,84,CS
2813,BS,Fall01,CS-103,79,CS
2813,BS,Fall01,CS-104,97,CS
2813,BS,Fall01,SS-201,83,CS
2813,BS,Fall01,MS-301,77,CS
2814,BS,Fall01,CS-101,99,CS
2814,BS,Fall01,CS-102,96,CS
2814,BS,Fall01,CS-103,52,CS
2814,BS,Fall01,CS-104,91,CS
2814,BS,Fall01,SS-201,53,CS
2814,BS,Fall01,MS-301,79,CS
2815,BS,Fall01,CS-101,75,CS
2815,BS,Fall01,CS-102,59,CS
2815,BS,Fall01,CS-103,74,CS
2815,BS,Fall01,CS-104,53,CS
2815,BS,Fall01,SS-201,55,CS
2815,BS,Fall01,MS-301,81,CS
2816,BS,Fall01,CS-101,52,CS
2816,BS,Fall01,CS-102,71,CS
