SID,Degree,Semester,Course,Marks,Discipline
0,BS,Fall94,CS-101,97,CS
0,BS,Fall94,CS-102,65,CS
0,BS,Fall94,CS-103,85,CS
0,BS,Fall94,CS-104,50,CS
0,BS,Fall94,SS-201,62,CS
0,BS,Fall94,MS-301,53,CS
1,BS,Fall94,CS-101,74,CS
1,BS,Fall94,CS-102,78,CS
1,BS,Fall94,CS-103,58,CS
1,BS,Fall94,CS-104,62,CS
1,BS,Fall94,SS-201,64,CS
1,BS,Fall94,MS-301,55,CS
2,BS,Fall94,CS-101,50,CS
2,BS,Fall94,CS-102,90,CS
2,BS,Fall94,CS-103,81,CS
2,BS,Fall94,CS-104,55,CS
2,BS,Fall94,SS-201,66,CS
2,BS,Fall94,MS-301,57,CS
3,BS,Fall94,CS-101,77,CS
3,BS,Fall94,CS-102,52,CS
3,BS,Fall94,CS-103,53,CS
3,BS,Fall94,CS-104,67,CS
3,BS,Fall94,SS-201,68,CS
3,BS,Fall94,MS-301,59,CS
4,BS,Fall94,CS-101,54,CS
4,BS,Fall94,CS-102,65,CS
4,BS,Fall94,CS-103,76,CS
4,BS,Fall94,CS-104,60,CS
4,BS,Fall94,SS-201,70,CS
4,BS,Fall94,MS-301,61,CS
5,BS,Fall94,CS-101,80,CS
5,BS,Fall94,CS-102,77,CS
5,BS,Fall94,CS-103,99,CS
5,BS,Fall94,CS-104,72,CS
5,BS,Fall94,SS-201,90,CS
5,BS,Fall94,MS-301,64,CS
6,BS,Fall94,CS-101,89,CS
6,BS,Fall94,CS-102,90,CS
6,BS,Fall94,CS-103,72,CS
6,BS,Fall94,CS-104,66,CS
6,BS,Fall94,SS-201,92,CS
6,BS,Fall94,MS-301,66,CS
7,BS,Fall94,CS-101,66,CS
7,BS,Fall94,CS-102,52,CS
7,BS,Fall94,CS-103,94,CS
7,BS,Fall94,CS-104,77,CS
7,BS,Fall94,SS-201,94,CS
7,BS,Fall94,MS-301,68,CS
8,BS,Fall94,CS-101,93,CS
8,BS,Fall94,CS-102,97,CS
8,BS,Fall94,CS-103,67,CS
8,BS,Fall94,CS-104,71,CS
8,BS,Fall94,SS-201,95,CS
8,BS,Fall94,MS-301,70,CS
9,BS,Fall94,CS-101,69,CS
9,BS,Fall94,CS-102,59,CS
9,BS,Fall94,CS-103,90,CS
9,BS,Fall94,CS-104,82,CS
9,BS,Fall94,SS-201,97,CS
9,BS,Fall94,MS-301,72,CS
10,BS,Fall94,CS-101,96,CS
10,BS,Fall94,CS-102,72,CS
10,BS,Fall94,CS-103,62,CS
10,BS,Fall94,CS-104,76,CS
10,BS,Fall94,SS-201,99,CS
10,BS,Fall94,MS-301,74,CS
11,BS,Fall94,CS-101,73,CS
