Reg#,Courses,Score,Program,Sem,Year
1200,CS-101,81,CS,Fall,1998
1200,CS-102,54,CS,Fall,1998
1200,CS-103,81,CS,Fall,1998
1200,CS-104,86,CS,Fall,1998
1200,SS-201,81,CS,Fall,1998
1200,MS-301,74,CS,Fall,1998
1201,CS-101,57,CS,Fall,1998
1201,CS-102,67,CS,Fall,1998
1201,CS-103,54,CS,Fall,1998
1201,CS-104,80,CS,Fall,1998
1201,SS-201,83,CS,Fall,1998
1201,MS-301,76,CS,Fall,1998
1202,CS-101,84,CS,Fall,1998
1202,CS-102,79,CS,Fall,1998
1202,CS-103,77,CS,Fall,1998
1202,CS-104,92,CS,Fall,1998
1202,SS-201,85,CS,Fall,1998
1202,MS-301,78,CS,Fall,1998
1203,CS-101,61,CS,Fall,1998
1203,CS-102,92,CS,Fall,1998
1203,CS-103,50,CS,Fall,1998
1203,CS-104,85,CS,Fall,1998
1203,SS-201,87,CS,Fall,1998
1203,MS-301,80,CS,Fall,1998
1204,CS-101,88,CS,Fall,1998
1204,CS-102,54,CS,Fall,1998
1204,CS-103,72,CS,Fall,1998
1204,CS-104,79,CS,Fall,1998
1204,SS-201,88,CS,Fall,1998
1204,MS-301,82,CS,Fall,1998
1205,CS-101,64,CS,Fall,1998
1205,CS-102,67,CS,Fall,1998
1205,CS-103,95,CS,Fall,1998
1205,CS-104,90,CS,Fall,1998
1205,SS-201,58,CS,Fall,1998
1205,MS-301,84,CS,Fall,1998
1206,CS-101,91,CS,Fall,1998
1206,CS-102,79,CS,Fall,1998
1206,CS-103,68,CS,Fall,1998
1206,CS-104,84,CS,Fall,1998
1206,SS-201,60,CS,Fall,1998
1206,MS-301,86,CS,Fall,1998
1207,CS-101,50,CS,Fall,1998
1207,CS-102,91,CS,Fall,1998
1207,CS-103,90,CS,Fall,1998
1207,CS-104,95,CS,Fall,1998
1207,SS-201,62,CS,Fall,1998
1207,MS-301,88,CS,Fall,1998
1208,CS-101,77,CS,Fall,1998
1208,CS-102,54,CS,Fall,1998
1208,CS-103,63,CS,Fall,1998
1208,CS-104,89,CS,Fall,1998
1208,SS-201,64,CS,Fall,1998
1208,MS-301,90,CS,Fall,1998
1209,CS-101,53,CS,Fall,1998
1209,CS-102,98,CS,Fall,1998
1209,CS-103,54,CS,Fall,1998
1209,CS-104,51,CS,Fall,1998
1209,SS-201,66,CS,Fall,1998
1209,MS-301,93,CS,Fall,1998
1210,CS-101,80,CS,Fall,1998
1210,CS-102,61,CS,Fall,1998
1210,CS-103,77,CS,Fall,1998
1210,CS-104,94,CS,Fall,1998
1210,SS-201,86,CS,Fall,1998
1210,MS-301,95,CS,Fall,1998
1211,CS-101,57,CS,Fall,1998
1211,CS-102,73,CS,Fall,1998
1211,CS-103,99,CS,Fall,1998
1211,CS-104,56,CS,Fall,1998
1211,SS-201,88,CS,Fall,1998
1211,MS-301,97,CS,Fall,1998
1212,CS-101,83,CS,Fall,1998
1212,CS-102,86,CS,Fall,1998
1212,CS-103,72,CS,Fall,1998
1212,CS-104,99,CS,Fall,1998
1212,SS-201,90,CS,Fall,1998
1212,MS-301,99,CS,Fall,1998
1213,CS-101,60,CS,Fall,1998
1213,CS-102,98,CS,Fall,1998
1213,CS-103,95,CS,Fall,1998
1213,CS-104,61,CS,Fall,1998
1213,SS-201,92,CS,Fall,1998
1213,MS-301,51,CS,Fall,1998
1214,CS-101,87,CS,Fall,1998
1214,CS-102,61,CS,Fall,1998
1214,CS-103,68,CS,Fall,1998
1214,CS-104,55,CS,Fall,1998
1214,SS-201,94,CS,Fall,1998
1214,MS-301,53,CS,Fall,1998
1215,CS-101,64,CS,Fall,1998
1215,CS-102,73,CS,Fall,1998
1215,CS-103,90,CS,Fall,1998
1215,CS-104,66,CS,Fall,1998
1215,SS-201,64,CS,Fall,1998
1215,MS-301,55,CS,Fall,1998
1216,CS-101,72,CS,Fall,1998
1216,CS-102,86,CS,Fall,1998
1216,CS-103,63,CS,Fall,1998
1216,CS-104,60,CS,Fall,1998
1216,SS-201,66,CS,Fall,1998
1216,MS-301,57,CS,Fall,1998
1217,CS-101,99,CS,Fall,1998
1217,CS-102,98,CS,Fall,1998
1217,CS-103,86,CS,Fall,1998
1217,CS-104,71,CS,Fall,1998
1217,SS-201,68,CS,Fall,1998
1217,MS-301,59,CS,Fall,1998
1218,CS-101,76,CS,Fall,1998
1218,CS-102,60,CS,Fall,1998
1218,CS-103,58,CS,Fall,1998
1218,CS-104,65,CS,Fall,1998
1218,SS-201,70,CS,Fall,1998
1218,MS-301,61,CS,Fall,1998
1219,CS-101,53,CS,Fall,1998
1219,CS-102,55,CS,Fall,1998
1219,CS-103,81,CS,Fall,1998
1219,CS-104,77,CS,Fall,1998
1219,SS-201,71,CS,Fall,1998
1219,MS-301,63,CS,Fall,1998
1220,CS-101,79,CS,Fall,1998
1220,CS-102,67,CS,Fall,1998
1220,CS-103,72,CS,Fall,1998
1220,CS-104,70,CS,Fall,1998
1220,SS-201,73,CS,Fall,1998
1220,MS-301,66,CS,Fall,1998
1221,CS-101,56,CS,Fall,1998
1221,CS-102,80,CS,Fall,1998
1221,CS-103,95,CS,Fall,1998
1221,CS-104,82,CS,Fall,1998
1221,SS-201,93,CS,Fall,1998
1221,MS-301,68,CS,Fall,1998
1222,CS-101,83,CS,Fall,1998
1222,CS-102,92,CS,Fall,1998
