SID,Degree,Semester,Course,Marks,Discipline
200,MS,Fall20,CS-801,61,MS-CS
200,MS,Fall20,CS-802,63,MS-CS
200,MS,Fall20,CS-703,86,MS-CS
201,MS,Fall20,CS-801,88,MS-CS
201,MS,Fall20,CS-802,76,MS-CS
201,MS,Fall20,CS-703,59,MS-CS
202,MS,Fall20,CS-801,64,MS-CS
202,MS,Fall20,CS-802,88,MS-CS
202,MS,Fall20,CS-703,50,MS-CS
203,MS,Fall20,CS-801,91,MS-CS
203,MS,Fall20,CS-802,51,MS-CS
203,MS,Fall20,CS-703,72,MS-CS
204,MS,Fall20,CS-801,68,MS-CS
204,MS,Fall20,CS-802,63,MS-CS
204,MS,Fall20,CS-703,95,MS-CS
205,MS,Fall20,CS-801,94,MS-CS
205,MS,Fall20,CS-802,76,MS-CS
205,MS,Fall20,CS-703,68,MS-CS
206,MS,Fall20,CS-801,53,MS-CS
206,MS,Fall20,CS-802,88,MS-CS
206,MS,Fall20,CS-703,91,MS-CS
207,MS,Fall20,CS-801,80,MS-CS
207,MS,Fall20,CS-802,50,MS-CS
207,MS,Fall20,CS-703,63,MS-CS
208,MS,Fall20,CS-801,57,MS-CS
208,MS,Fall20,CS-802,95,MS-CS
208,MS,Fall20,CS-703,86,MS-CS
209,MS,Fall20,CS-801,83,MS-CS
209,MS,Fall20,CS-802,57,MS-CS
209,MS,Fall20,CS-703,59,MS-CS
210,MS,Fall20,CS-801,60,MS-CS
210,MS,Fall20,CS-802,70,MS-CS
210,MS,Fall20,CS-703,82,MS-CS
211,MS,Fall20,CS-801,87,MS-CS
211,MS,Fall20,CS-802,82,MS-CS
211,MS,Fall20,CS-703,54,MS-CS
212,MS,Fall20,CS-801,64,MS-CS
212,MS,Fall20,CS-802,95,MS-CS
212,MS,Fall20,CS-703,77,MS-CS
213,MS,Fall20,CS-801,90,MS-CS
213,MS,Fall20,CS-802,57,MS-CS
213,MS,Fall20,CS-703,68,MS-CS
214,MS,Fall20,CS-801,99,MS-CS
214,MS,Fall20,CS-802,70,MS-CS
214,MS,Fall20,CS-703,90,MS-CS
215,MS,Fall20,CS-801,76,MS-CS
215,MS,Fall20,CS-802,82,MS-CS
215,MS,Fall20,CS-703,63,MS-CS
216,MS,Fall20,CS-801,52,MS-CS
216,MS,Fall20,CS-802,95,MS-CS
216,MS,Fall20,CS-703,86,MS-CS
217,MS,Fall20,CS-801,79,MS-CS
217,MS,Fall20,CS-802,57,MS-CS
217,MS,Fall20,CS-703,59,MS-CS
218,MS,Fall20,CS-801,56,MS-CS
218,MS,Fall20,CS-802,69,MS-CS
218,MS,Fall20,CS-703,81,MS-CS
219,MS,Fall20,CS-801,83,MS-CS
219,MS,Fall20,CS-802,64,MS-CS
219,MS,Fall20,CS-703,54,MS-CS
220,MS,Fall20,CS-801,59,MS-CS
220,MS,Fall20,CS-802,76,MS-CS
220,MS,Fall20,CS-703,77,MS-CS
221,MS,Fall20,CS-801,86,MS-CS
221,MS,Fall20,CS-802,89,MS-CS
221,MS,Fall20,CS-703,99,MS-CS
222,MS,Fall20,CS-801,63,MS-CS
222,MS,Fall20,CS-802,51,MS-CS
222,MS,Fall20,CS-703,72,MS-CS
223,MS,Fall20,CS-801,72,MS-CS
