SID,Degree,Semester,Course,Marks,Discipline
800,BS,Fall96,CS-101,53,CS
800,BS,Fall96,CS-102,58,CS
800,BS,Fall96,CS-103,93,CS
800,BS,Fall96,CS-104,68,CS
800,BS,Fall96,SS-201,58,CS
800,BS,Fall96,MS-301,50,CS
801,BS,Fall96,CS-101,79,CS
801,BS,Fall96,CS-102,70,CS
801,BS,Fall96,CS-103,66,CS
801,BS,Fall96,CS-104,80,CS
801,BS,Fall96,SS-201,60,CS
801,BS,Fall96,MS-301,52,CS
802,BS,Fall96,CS-101,56,CS
802,BS,Fall96,CS-102,83,CS
802,BS,Fall96,CS-103,89,CS
802,BS,Fall96,CS-104,73,CS
802,BS,Fall96,SS-201,62,CS
802,BS,Fall96,MS-301,54,CS
803,BS,Fall96,CS-101,83,CS
803,BS,Fall96,CS-102,95,CS
803,BS,Fall96,CS-103,62,CS
803,BS,Fall96,CS-104,85,CS
803,BS,Fall96,SS-201,64,CS
803,BS,Fall96,MS-301,56,CS
804,BS,Fall96,CS-101,60,CS
804,BS,Fall96,CS-102,58,CS
804,BS,Fall96,CS-103,84,CS
804,BS,Fall96,CS-104,79,CS
804,BS,Fall96,SS-201,66,CS
804,BS,Fall96,MS-301,59,CS
805,BS,Fall96,CS-101,86,CS
805,BS,Fall96,CS-102,70,CS
805,BS,Fall96,CS-103,57,CS
805,BS,Fall96,CS-104,90,CS
805,BS,Fall96,SS-201,85,CS
805,BS,Fall96,MS-301,61,CS
806,BS,Fall96,CS-101,63,CS
806,BS,Fall96,CS-102,83,CS
806,BS,Fall96,CS-103,98,CS
806,BS,Fall96,CS-104,84,CS
806,BS,Fall96,SS-201,87,CS
806,BS,Fall96,MS-301,63,CS
807,BS,Fall96,CS-101,72,CS
807,BS,Fall96,CS-102,95,CS
807,BS,Fall96,CS-103,70,CS
807,BS,Fall96,CS-104,95,CS
807,BS,Fall96,SS-201,89,CS
807,BS,Fall96,MS-301,65,CS
808,BS,Fall96,CS-101,99,CS
808,BS,Fall96,CS-102,89,CS
808,BS,Fall96,CS-103,93,CS
808,BS,Fall96,CS-104,89,CS
808,BS,Fall96,SS-201,91,CS
808,BS,Fall96,MS-301,67,CS
809,BS,Fall96,CS-101,75,CS
809,BS,Fall96,CS-102,52,CS
809,BS,Fall96,CS-103,66,CS
809,BS,Fall96,CS-104,51,CS
809,BS,Fall96,SS-201,93,CS
809,BS,Fall96,MS-301,69,CS
810,BS,Fall96,CS-101,52,CS
810,BS,Fall96,CS-102,64,CS
