SID,Degree,Semester,Course,Marks,Discipline
400,MS,Fall20,CS-801,75,MS-CS
400,MS,Fall20,CS-802,61,MS-CS
400,MS,Fall20,CS-703,55,MS-CS
401,MS,Fall20,CS-801,52,MS-CS
401,MS,Fall20,CS-802,74,MS-CS
401,MS,Fall20,CS-703,78,MS-CS
402,MS,Fall20,CS-801,78,MS-CS
402,MS,Fall20,CS-802,86,MS-CS
402,MS,Fall20,CS-703,51,MS-CS
403,MS,Fall20,CS-801,55,MS-CS
403,MS,Fall20,CS-802,99,MS-CS
403,MS,Fall20,CS-703,91,MS-CS
404,MS,Fall20,CS-801,82,MS-CS
404,MS,Fall20,CS-802,61,MS-CS
404,MS,Fall20,CS-703,64,MS-CS
405,MS,Fall20,CS-801,58,MS-CS
405,MS,Fall20,CS-802,74,MS-CS
405,MS,Fall20,CS-703,87,MS-CS
406,MS,Fall20,CS-801,67,MS-CS
406,MS,Fall20,CS-802,86,MS-CS
406,MS,Fall20,CS-703,60,MS-CS
407,MS,Fall20,CS-801,94,MS-CS
407,MS,Fall20,CS-802,99,MS-CS
407,MS,Fall20,CS-703,82,MS-CS
408,MS,Fall20,CS-801,71,MS-CS
408,MS,Fall20,CS-802,93,MS-CS
408,MS,Fall20,CS-703,55,MS-CS
409,MS,Fall20,CS-801,97,MS-CS
409,MS,Fall20,CS-802,56,MS-CS
409,MS,Fall20,CS-703,78,MS-CS
410,MS,Fall20,CS-801,74,MS-CS
410,MS,Fall20,CS-802,68,MS-CS
410,MS,Fall20,CS-703,51,MS-CS
411,MS,Fall20,CS-801,51,MS-CS
411,MS,Fall20,CS-802,80,MS-CS
411,MS,Fall20,CS-703,73,MS-CS
412,MS,Fall20,CS-801,78,MS-CS
412,MS,Fall20,CS-802,93,MS-CS
412,MS,Fall20,CS-703,96,MS-CS
413,MS,Fall20,CS-801,54,MS-CS
413,MS,Fall20,CS-802,55,MS-CS
413,MS,Fall20,CS-703,69,MS-CS
414,MS,Fall20,CS-801,81,MS-CS
