Reg#,Courses,Score,Program,Sem,Year
2700,CS-101,53,CS,Fall,2003
2700,CS-102,75,CS,Fall,2003
2700,CS-103,81,CS,Fall,2003
2700,CS-104,64,CS,Fall,2003
2700,SS-201,87,CS,Fall,2003
2700,MS-301,90,CS,Fall,2003
2701,CS-101,62,CS,Fall,2003
2701,CS-102,87,CS,Fall,2003
2701,CS-103,54,CS,Fall,2003
2701,CS-104,57,CS,Fall,2003
2701,SS-201,89,CS,Fall,2003
2701,MS-301,93,CS,Fall,2003
2702,CS-101,89,CS,Fall,2003
2702,CS-102,50,CS,Fall,2003
2702,CS-103,77,CS,Fall,2003
2702,CS-104,69,CS,Fall,2003
2702,SS-201,59,CS,Fall,2003
2702,MS-301,95,CS,Fall,2003
2703,CS-101,66,CS,Fall,2003
2703,CS-102,62,CS,Fall,2003
2703,CS-103,99,CS,Fall,2003
2703,CS-104,63,CS,Fall,2003
2703,SS-201,61,CS,Fall,2003
2703,MS-301,97,CS,Fall,2003
2704,CS-101,92,CS,Fall,2003
2704,CS-102,57,CS,Fall,2003
2704,CS-103,72,CS,Fall,2003
2704,CS-104,74,CS,Fall,2003
2704,SS-201,63,CS,Fall,2003
2704,MS-301,99,CS,Fall,2003
2705,CS-101,69,CS,Fall,2003
2705,CS-102,69,CS,Fall,2003
2705,CS-103,95,CS,Fall,2003
2705,CS-104,68,CS,Fall,2003
2705,SS-201,65,CS,Fall,2003
2705,MS-301,51,CS,Fall,2003
2706,CS-101,96,CS,Fall,2003
2706,CS-102,82,CS,Fall,2003
2706,CS-103,67,CS,Fall,2003
2706,CS-104,79,CS,Fall,2003
2706,SS-201,67,CS,Fall,2003
2706,MS-301,53,CS,Fall,2003
2707,CS-101,73,CS,Fall,2003
2707,CS-102,94,CS,Fall,2003
2707,CS-103,90,CS,Fall,2003
2707,CS-104,73,CS,Fall,2003
2707,SS-201,69,CS,Fall,2003
2707,MS-301,55,CS,Fall,2003
2708,CS-101,99,CS,Fall,2003
2708,CS-102,56,CS,Fall,2003
2708,CS-103,63,CS,Fall,2003
2708,CS-104,85,CS,Fall,2003
2708,SS-201,89,CS,Fall,2003
2708,MS-301,57,CS,Fall,2003
2709,CS-101,76,CS,Fall,2003
2709,CS-102,69,CS,Fall,2003
2709,CS-103,54,CS,Fall,2003
