SID,Degree,Semester,Course,Marks,Discipline
600,MS,Fall20,CS-801,89,MS-CS
600,MS,Fall20,CS-802,60,MS-CS
600,MS,Fall20,CS-703,74,MS-CS
601,MS,Fall20,CS-801,65,MS-CS
601,MS,Fall20,CS-802,72,MS-CS
601,MS,Fall20,CS-703,97,MS-CS
602,MS,Fall20,CS-801,92,MS-CS
602,MS,Fall20,CS-802,85,MS-CS
602,MS,Fall20,CS-703,70,MS-CS
603,MS,Fall20,CS-801,69,MS-CS
603,MS,Fall20,CS-802,97,MS-CS
603,MS,Fall20,CS-703,92,MS-CS
604,MS,Fall20,CS-801,96,MS-CS
604,MS,Fall20,CS-802,59,MS-CS
604,MS,Fall20,CS-703,65,MS-CS
605,MS,Fall20,CS-801,72,MS-CS
605,MS,Fall20,CS-802,72,MS-CS
605,MS,Fall20,CS-703,56,MS-CS
606,MS,Fall20,CS-801,99,MS-CS
606,MS,Fall20,CS-802,84,MS-CS
606,MS,Fall20,CS-703,79,MS-CS
607,MS,Fall20,CS-801,58,MS-CS
607,MS,Fall20,CS-802,97,MS-CS
607,MS,Fall20,CS-703,51,MS-CS
608,MS,Fall20,CS-801,85,MS-CS
608,MS,Fall20,CS-802,91,MS-CS
608,MS,Fall20,CS-703,74,MS-CS
609,MS,Fall20,CS-801,61,MS-CS
609,MS,Fall20,CS-802,54,MS-CS
609,MS,Fall20,CS-703,97,MS-CS
610,MS,Fall20,CS-801,88,MS-CS
610,MS,Fall20,CS-802,66,MS-CS
610,MS,Fall20,CS-703,70,MS-CS
611,MS,Fall20,CS-801,65,MS-CS
611,MS,Fall20,CS-802,79,MS-CS
611,MS,Fall20,CS-703,92,MS-CS
612,MS,Fall20,CS-801,92,MS-CS
612,MS,Fall20,CS-802,91,MS-CS
612,MS,Fall20,CS-703,65,MS-CS
613,MS,Fall20,CS-801,68,MS-CS
613,MS,Fall20,CS-802,54,MS-CS
613,MS,Fall20,CS-703,88,MS-CS
614,MS,Fall20,CS-801,95,MS-CS
614,MS,Fall20,CS-802,66,MS-CS
614,MS,Fall20,CS-703,60,MS-CS
615,MS,Fall20,CS-801,54,MS-CS
615,MS,Fall20,CS-802,78,MS-CS
615,MS,Fall20,CS-703,83,MS-CS
616,MS,Fall20,CS-801,80,MS-CS
616,MS,Fall20,CS-802,91,MS-CS
616,MS,Fall20,CS-703,74,MS-CS
617,MS,Fall20,CS-801,57,MS-CS
617,MS,Fall20,CS-802,53,MS-CS
617,MS,Fall20,CS-703,97,MS-CS
618,MS,Fall20,CS-801,84,MS-CS
618,MS,Fall20,CS-802,66,MS-CS
618,MS,Fall20,CS-703,69,MS-CS
619,MS,Fall20,CS-801,61,MS-CS
619,MS,Fall20,CS-802,60,MS-CS
619,MS,Fall20,CS-703,92,MS-CS
620,MS,Fall20,CS-801,87,MS-CS
620,MS,Fall20,CS-802,73,MS-CS
620,MS,Fall20,CS-703,65,MS-CS
