Reg#,Courses,Score,Program,Sem,Year
300,CS-101,68,CS,Fall,1995
300,CS-102,96,CS,Fall,1995
300,CS-103,71,CS,Fall,1995
300,CS-104,59,CS,Fall,1995
300,SS-201,50,CS,Fall,1995
300,MS-301,67,CS,Fall,1995
301,CS-101,95,CS,Fall,1995
301,CS-102,59,CS,Fall,1995
301,CS-103,94,CS,Fall,1995
301,CS-104,71,CS,Fall,1995
301,SS-201,52,CS,Fall,1995
301,MS-301,69,CS,Fall,1995
302,CS-101,71,CS,Fall,1995
302,CS-102,71,CS,Fall,1995
302,CS-103,66,CS,Fall,1995
302,CS-104,64,CS,Fall,1995
302,SS-201,54,CS,Fall,1995
302,MS-301,71,CS,Fall,1995
303,CS-101,98,CS,Fall,1995
303,CS-102,66,CS,Fall,1995
303,CS-103,57,CS,Fall,1995
303,CS-104,76,CS,Fall,1995
303,SS-201,55,CS,Fall,1995
303,MS-301,74,CS,Fall,1995
304,CS-101,75,CS,Fall,1995
304,CS-102,78,CS,Fall,1995
304,CS-103,80,CS,Fall,1995
304,CS-104,69,CS,Fall,1995
304,SS-201,75,CS,Fall,1995
304,MS-301,76,CS,Fall,1995
305,CS-101,51,CS,Fall,1995
305,CS-102,91,CS,Fall,1995
305,CS-103,52,CS,Fall,1995
305,CS-104,63,CS,Fall,1995
305,SS-201,77,CS,Fall,1995
305,MS-301,78,CS,Fall,1995
306,CS-101,60,CS,Fall,1995
306,CS-102,53,CS,Fall,1995
306,CS-103,75,CS,Fall,1995
306,CS-104,75,CS,Fall,1995
306,SS-201,79,CS,Fall,1995
306,MS-301,80,CS,Fall,1995
307,CS-101,87,CS,Fall,1995
307,CS-102,66,CS,Fall,1995
307,CS-103,98,CS,Fall,1995
307,CS-104,68,CS,Fall,1995
307,SS-201,81,CS,Fall,1995
307,MS-301,82,CS,Fall,1995
308,CS-101,64,CS,Fall,1995
308,CS-102,78,CS,Fall,1995
308,CS-103,71,CS,Fall,1995
308,CS-104,80,CS,Fall,1995
308,SS-201,83,CS,Fall,1995
308,MS-301,84,CS,Fall,1995
309,CS-101,90,CS,Fall,1995
309,CS-102,90,CS,Fall,1995
309,CS-103,93,CS,Fall,1995
309,CS-104,73,CS,Fall,1995
309,SS-201,53,CS,Fall,1995
309,MS-301,86,CS,Fall,1995
310,CS-101,67,CS,Fall,1995
310,CS-102,53,CS,Fall,1995
310,CS-103,66,CS,Fall,1995
310,CS-104,85,CS,Fall,1995
310,SS-201,55,CS,Fall,1995
310,MS-301,88,CS,Fall,1995
311,CS-101,94,CS,Fall,1995
311,CS-102,65,CS,Fall,1995
311,CS-103,89,CS,Fall,1995
311,CS-104,79,CS,Fall,1995
311,SS-201,57,CS,Fall,1995
311,MS-301,90,CS,Fall,1995
312,CS-101,71,CS,Fall,1995
312,CS-102,78,CS,Fall,1995
312,CS-103,61,CS,Fall,1995
312,CS-104,90,CS,Fall,1995
312,SS-201,59,CS,Fall,1995
312,MS-301,92,CS,Fall,1995
313,CS-101,97,CS,Fall,1995
313,CS-102,90,CS,Fall,1995
313,CS-103,84,CS,Fall,1995
313,CS-104,84,CS,Fall,1995
313,SS-201,61,CS,Fall,1995
313,MS-301,94,CS,Fall,1995
314,CS-101,74,CS,Fall,1995
314,CS-102,85,CS,Fall,1995
314,CS-103,75,CS,Fall,1995
314,CS-104,95,CS,Fall,1995
314,SS-201,63,CS,Fall,1995
314,MS-301,97,CS,Fall,1995
315,CS-101,83,CS,Fall,1995
315,CS-102,97,CS,Fall,1995
315,CS-103,98,CS,Fall,1995
315,CS-104,89,CS,Fall,1995
315,SS-201,83,CS,Fall,1995
315,MS-301,99,CS,Fall,1995
316,CS-101,59,CS,Fall,1995
316,CS-102,60,CS,Fall,1995
316,CS-103,70,CS,Fall,1995
316,CS-104,51,CS,Fall,1995
316,SS-201,85,CS,Fall,1995
316,MS-301,51,CS,Fall,1995
317,CS-101,86,CS,Fall,1995
317,CS-102,72,CS,Fall,1995
317,CS-103,93,CS,Fall,1995
317,CS-104,94,CS,Fall,1995
317,SS-201,87,CS,Fall,1995
317,MS-301,53,CS,Fall,1995
318,CS-101,63,CS,Fall,1995
318,CS-102,85,CS,Fall,1995
318,CS-103,66,CS,Fall,1995
318,CS-104,56,CS,Fall,1995
318,SS-201,88,CS,Fall,1995
318,MS-301,55,CS,Fall,1995
319,CS-101,90,CS,Fall,1995
319,CS-102,97,CS,Fall,1995
319,CS-103,89,CS,Fall,1995
319,CS-104,99,CS,Fall,1995
319,SS-201,90,CS,Fall,1995
319,MS-301,57,CS,Fall,1995
320,CS-101,66,CS,Fall,1995
320,CS-102,59,CS,Fall,1995
320,CS-103,61,CS,Fall,1995
320,CS-104,61,CS,Fall,1995
