Reg#,Courses,Score,Program,Sem,Year
300,CS-801,68,MS-CS,Fall,2004
300,CS-802,96,MS-CS,Fall,2004
300,CS-703,71,MS-CS,Fall,2004
301,CS-801,95,MS-CS,Fall,2004
301,CS-802,59,MS-CS,Fall,2004
301,CS-703,94,MS-CS,Fall,2004
302,CS-801,71,MS-CS,Fall,2004
302,CS-802,71,MS-CS,Fall,2004
302,CS-703,66,MS-CS,Fall,2004
303,CS-801,98,MS-CS,Fall,2004
303,CS-802,66,MS-CS,Fall,2004
303,CS-703,57,MS-CS,Fall,2004
304,CS-801,75,MS-CS,Fall,2004
304,CS-802,78,MS-CS,Fall,2004
304,CS-703,80,MS-CS,Fall,2004
305,CS-801,51,MS-CS,Fall,2004
305,CS-802,91,MS-CS,Fall,2004
305,CS-703,52,MS-CS,Fall,2004
306,CS-801,60,MS-CS,Fall,2004
306,CS-802,53,MS-CS,Fall,2004
306,CS-703,75,MS-CS,Fall,2004
307,CS-801,87,MS-CS,Fall,2004
307,CS-802,66,MS-CS,Fall,2004
307,CS-703,98,MS-CS,Fall,2004
308,CS-801,64,MS-CS,Fall,2004
308,CS-802,78,MS-CS,Fall,2004
308,CS-703,71,MS-CS,Fall,2004
309,CS-801,90,MS-CS,Fall,2004
309,CS-802,90,MS-CS,Fall,2004
309,CS-703,93,MS-CS,Fall,2004
310,CS-801,67,MS-CS,Fall,2004
310,CS-802,53,MS-CS,Fall,2004
310,CS-703,66,MS-CS,Fall,2004
311,CS-801,94,MS-CS,Fall,2004
311,CS-802,65,MS-CS,Fall,2004
311,CS-703,89,MS-CS,Fall,2004
312,CS-801,71,MS-CS,Fall,2004
312,CS-802,78,MS-CS,Fall,2004
312,CS-703,61,MS-CS,Fall,2004
313,CS-801,97,MS-CS,Fall,2004
313,CS-802,90,MS-CS,Fall,2004
313,CS-703,84,MS-CS,Fall,2004
314,CS-801,74,MS-CS,Fall,2004
314,CS-802,85,MS-CS,Fall,2004
314,CS-703,75,MS-CS,Fall,2004
