Reg#,Courses,Score,Program,Sem,Year
900,CS-101,60,CS,Fall,1997
900,CS-102,91,CS,Fall,1997
900,CS-103,78,CS,Fall,1997
900,CS-104,77,CS,Fall,1997
900,SS-201,75,CS,Fall,1997
900,MS-301,60,CS,Fall,1997
901,CS-101,86,CS,Fall,1997
901,CS-102,53,CS,Fall,1997
901,CS-103,51,CS,Fall,1997
901,CS-104,71,CS,Fall,1997
901,SS-201,95,CS,Fall,1997
901,MS-301,62,CS,Fall,1997
902,CS-101,63,CS,Fall,1997
902,CS-102,66,CS,Fall,1997
902,CS-103,73,CS,Fall,1997
902,CS-104,82,CS,Fall,1997
902,SS-201,97,CS,Fall,1997
902,MS-301,64,CS,Fall,1997
903,CS-101,90,CS,Fall,1997
903,CS-102,60,CS,Fall,1997
903,CS-103,96,CS,Fall,1997
903,CS-104,76,CS,Fall,1997
903,SS-201,99,CS,Fall,1997
903,MS-301,66,CS,Fall,1997
904,CS-101,67,CS,Fall,1997
904,CS-102,73,CS,Fall,1997
904,CS-103,69,CS,Fall,1997
904,CS-104,88,CS,Fall,1997
904,SS-201,51,CS,Fall,1997
904,MS-301,68,CS,Fall,1997
905,CS-101,93,CS,Fall,1997
905,CS-102,85,CS,Fall,1997
905,CS-103,91,CS,Fall,1997
905,CS-104,81,CS,Fall,1997
905,SS-201,53,CS,Fall,1997
905,MS-301,70,CS,Fall,1997
906,CS-101,70,CS,Fall,1997
906,CS-102,98,CS,Fall,1997
906,CS-103,64,CS,Fall,1997
906,CS-104,93,CS,Fall,1997
906,SS-201,73,CS,Fall,1997
906,MS-301,72,CS,Fall,1997
907,CS-101,79,CS,Fall,1997
907,CS-102,60,CS,Fall,1997
907,CS-103,55,CS,Fall,1997
907,CS-104,86,CS,Fall,1997
907,SS-201,75,CS,Fall,1997
907,MS-301,74,CS,Fall,1997
908,CS-101,56,CS,Fall,1997
908,CS-102,73,CS,Fall,1997
908,CS-103,78,CS,Fall,1997
908,CS-104,98,CS,Fall,1997
908,SS-201,77,CS,Fall,1997
908,MS-301,76,CS,Fall,1997
909,CS-101,82,CS,Fall,1997
909,CS-102,85,CS,Fall,1997
909,CS-103,50,CS,Fall,1997
909,CS-104,92,CS,Fall,1997
909,SS-201,78,CS,Fall,1997
909,MS-301,78,CS,Fall,1997
910,CS-101,59,CS,Fall,1997
910,CS-102,98,CS,Fall,1997
910,CS-103,73,CS,Fall,1997
910,CS-104,53,CS,Fall,1997
910,SS-201,80,CS,Fall,1997
910,MS-301,80,CS,Fall,1997
911,CS-101,86,CS,Fall,1997
911,CS-102,60,CS,Fall,1997
911,CS-103,96,CS,Fall,1997
911,CS-104,97,CS,Fall,1997
911,SS-201,82,CS,Fall,1997
911,MS-301,83,CS,Fall,1997
912,CS-101,62,CS,Fall,1997
912,CS-102,72,CS,Fall,1997
912,CS-103,69,CS,Fall,1997
912,CS-104,58,CS,Fall,1997
912,SS-201,52,CS,Fall,1997
912,MS-301,85,CS,Fall,1997
913,CS-101,89,CS,Fall,1997
913,CS-102,85,CS,Fall,1997
913,CS-103,91,CS,Fall,1997
913,CS-104,52,CS,Fall,1997
913,SS-201,54,CS,Fall,1997
913,MS-301,87,CS,Fall,1997
914,CS-101,66,CS,Fall,1997
914,CS-102,79,CS,Fall,1997
914,CS-103,64,CS,Fall,1997
914,CS-104,64,CS,Fall,1997
914,SS-201,56,CS,Fall,1997
914,MS-301,89,CS,Fall,1997
915,CS-101,75,CS,Fall,1997
915,CS-102,92,CS,Fall,1997
915,CS-103,87,CS,Fall,1997
915,CS-104,57,CS,Fall,1997
915,SS-201,58,CS,Fall,1997
915,MS-301,91,CS,Fall,1997
916,CS-101,51,CS,Fall,1997
916,CS-102,54,CS,Fall,1997
916,CS-103,59,CS,Fall,1997
916,CS-104,69,CS,Fall,1997
916,SS-201,60,CS,Fall,1997
916,MS-301,93,CS,Fall,1997
917,CS-101,78,CS,Fall,1997
917,CS-102,67,CS,Fall,1997
917,CS-103,82,CS,Fall,1997
917,CS-104,62,CS,Fall,1997
917,SS-201,80,CS,Fall,1997
917,MS-301,95,CS,Fall,1997
918,CS-101,55,CS,Fall,1997
918,CS-102,79,CS,Fall,1997
918,CS-103,73,CS,Fall,1997
918,CS-104,74,CS,Fall,1997
918,SS-201,82,CS,Fall,1997
918,MS-301,97,CS,Fall,1997
919,CS-101,82,CS,Fall,1997
919,CS-102,92,CS,Fall,1997
919,CS-103,96,CS,Fall,1997
919,CS-104,67,CS,Fall,1997
919,SS-201,84,CS,Fall,1997
919,MS-301,99,CS,Fall,1997
920,CS-101,58,CS,Fall,1997
920,CS-102,54,CS,Fall,1997
920,CS-103,68,CS,Fall,1997
920,CS-104,79,CS,Fall,1997
920,SS-201,86,CS,Fall,1997
920,MS-301,51,CS,Fall,1997
921,CS-101,85,CS,Fall,1997
921,CS-102,66,CS,Fall,1997
921,CS-103,91,CS,Fall,1997
921,CS-104,73,CS,Fall,1997
921,SS-201,88,CS,Fall,1997
921,MS-301,54,CS,Fall,1997
922,CS-101,62,CS,Fall,1997
922,CS-102,79,CS,Fall,1997
922,CS-103,64,CS,Fall,1997
922,CS-104,84,CS,Fall,1997
922,SS-201,58,CS,Fall,1997
922,MS-301,56,CS,Fall,1997
923,CS-101,89,CS,Fall,1997
923,CS-102,91,CS,Fall,1997
923,CS-103,87,CS,Fall,1997
