Reg#,Courses,Score,Program,Sem,Year
0,CS-801,95,MS-CS,Fall,2001
0,CS-802,69,MS-CS,Fall,2001
0,CS-703,70,MS-CS,Fall,2001
1,CS-801,74,MS-CS,Fall,2001
1,CS-802,78,MS-CS,Fall,2001
1,CS-703,58,MS-CS,Fall,2001
2,CS-801,50,MS-CS,Fall,2001
2,CS-802,90,MS-CS,Fall,2001
2,CS-703,81,MS-CS,Fall,2001
3,CS-801,77,MS-CS,Fall,2001
3,CS-802,52,MS-CS,Fall,2001
3,CS-703,53,MS-CS,Fall,2001
4,CS-801,54,MS-CS,Fall,2001
4,CS-802,65,MS-CS,Fall,2001
4,CS-703,76,MS-CS,Fall,2001
5,CS-801,80,MS-CS,Fall,2001
5,CS-802,77,MS-CS,Fall,2001
5,CS-703,99,MS-CS,Fall,2001
6,CS-801,89,MS-CS,Fall,2001
6,CS-802,90,MS-CS,Fall,2001
6,CS-703,72,MS-CS,Fall,2001
7,CS-801,66,MS-CS,Fall,2001
7,CS-802,52,MS-CS,Fall,2001
7,CS-703,94,MS-CS,Fall,2001
8,CS-801,93,MS-CS,Fall,2001
8,CS-802,97,MS-CS,Fall,2001
8,CS-703,67,MS-CS,Fall,2001
9,CS-801,69,MS-CS,Fall,2001
9,CS-802,59,MS-CS,Fall,2001
9,CS-703,90,MS-CS,Fall,2001
10,CS-801,96,MS-CS,Fall,2001
10,CS-802,72,MS-CS,Fall,2001
10,CS-703,62,MS-CS,Fall,2001
11,CS-801,73,MS-CS,Fall,2001
11,CS-802,84,MS-CS,Fall,2001
11,CS-703,85,MS-CS,Fall,2001
12,CS-801,50,MS-CS,Fall,2001
12,CS-802,97,MS-CS,Fall,2001
12,CS-703,76,MS-CS,Fall,2001
13,CS-801,76,MS-CS,Fall,2001
13,CS-802,59,MS-CS,Fall,2001
13,CS-703,99,MS-CS,Fall,2001
14,CS-801,85,MS-CS,Fall,2001
14,CS-802,71,MS-CS,Fall,2001
14,CS-703,71,MS-CS,Fall,2001
15,CS-801,62,MS-CS,Fall,2001
15,CS-802,84,MS-CS,Fall,2001
15,CS-703,94,MS-CS,Fall,2001
16,CS-801,89,MS-CS,Fall,2001
16,CS-802,96,MS-CS,Fall,2001
16,CS-703,67,MS-CS,Fall,2001
17,CS-801,65,MS-CS,Fall,2001
17,CS-802,59,MS-CS,Fall,2001
17,CS-703,90,MS-CS,Fall,2001
18,CS-801,92,MS-CS,Fall,2001
18,CS-802,71,MS-CS,Fall,2001
18,CS-703,62,MS-CS,Fall,2001
19,CS-801,69,MS-CS,Fall,2001
19,CS-802,66,MS-CS,Fall,2001
